Date,Range,Site,Lat,Long,Sex,CrabRep,CW,CL,PL,Claw_weight,Body_weight,PercentClaw
2023-06-01,Historical,Oys,37.28804877,-75.92704123,Male,1,17.68,11.95,NA,NA,0.5184,
2023-06-01,Historical,Oys,37.28804877,-75.92704123,Male,2,16.58,11.46,25.43,0.2202,0.469,32
2023-06-01,Historical,Oys,37.28804877,-75.92704123,Male,3,15.62,10.19,23.57,0.1576,0.3813,29
2023-06-01,Historical,Oys,37.28804877,-75.92704123,Male,4,11.76,9.06,18.92,0.0364,0.1662,18
2023-06-01,Historical,Oys,37.28804877,-75.92704123,Male,5,17.92,11.78,27.94,0.1727,0.3353,34
2023-06-01,Historical,Oys,37.28804877,-75.92704123,Male,6,16.07,11.06,26.48,0.2376,0.4669,34
2023-06-01,Historical,Oys,37.28804877,-75.92704123,Male,7,16.55,10.98,26.46,0.2452,0.4338,36
2023-06-01,Historical,Oys,37.28804877,-75.92704123,Male,8,16.87,11.27,20.95,0.1063,0.4586,19
2023-06-01,Historical,Oys,37.28804877,-75.92704123,Male,9,17.98,12.33,7.44,NA,0.3364,0
2023-06-01,Historical,Oys,37.28804877,-75.92704123,Male,10,14.12,10.07,21.79,0.1471,0.3715,28
2023-06-02,Historical,Tuck,39.56685979,-74.34244463,Male,1,15.29,10.33,23.24,0.159,0.3665,30
2023-06-02,Historical,Tuck,39.56685979,-74.34244463,Male,2,16.64,11.03,28.08,0.1194,0.3146,28
2023-06-02,Historical,Tuck,39.56685979,-74.34244463,Male,3,15.39,10.38,23.24,0.2003,0.391,34
2023-06-02,Historical,Tuck,39.56685979,-74.34244463,Male,4,16.99,11.4,25.25,0.2199,0.595,27
2023-06-02,Historical,Tuck,39.56685979,-74.34244463,Male,5,14.84,10.27,23.37,0.1753,0.3563,33
2023-06-02,Historical,Tuck,39.56685979,-74.34244463,Male,6,15.07,10,21.64,0.1315,0.3717,26
2023-06-02,Historical,Tuck,39.56685979,-74.34244463,Male,7,16.53,11.07,26.46,0.144,0.3645,28
2023-06-02,Historical,Tuck,39.56685979,-74.34244463,Male,8,15.44,10.41,22.3,0.1377,0.3342,29
2023-06-02,Historical,Tuck,39.56685979,-74.34244463,Male,9,15.81,10.79,24.68,0.1936,0.4598,30
2023-06-02,Historical,Tuck,39.56685979,-74.34244463,Male,10,16.4,10.68,25.12,0.2254,0.4341,34
2023-06-03,Historical,Noa,41.33964336,-71.98060504,Male,1,14.1,9.69,18.4,0.1215,0.2279,35
2023-06-03,Historical,Noa,41.33964336,-71.98060504,Male,2,18.19,12.21,22.4,0.1929,0.387,33
2023-06-03,Historical,Noa,41.33964336,-71.98060504,Male,3,16.65,11.13,23.1,0.2381,0.3419,41
2023-06-03,Historical,Noa,41.33964336,-71.98060504,Male,4,15.71,11.05,22.69,0.2025,0.2855,41
2023-06-03,Historical,Noa,41.33964336,-71.98060504,Male,5,19.79,13.42,33.66,0.5247,0.8362,39
2023-06-03,Historical,Noa,41.33964336,-71.98060504,Male,6,15.84,11.08,24.52,0.2171,0.3748,37
2023-06-03,Historical,Noa,41.33964336,-71.98060504,Male,7,15.48,10.38,NA,NA,0.0373,0
2023-06-03,Historical,Noa,41.33964336,-71.98060504,Male,8,18.65,11.86,29.9,0.3392,0.6925,33
2023-06-03,Historical,Noa,41.33964336,-71.98060504,Male,9,17.66,11.96,29.93,0.3865,0.6482,37
2023-06-03,Historical,Noa,41.33964336,-71.98060504,Male,10,NA,NA,NA,NA,NA,0
2023-06-04,Historical,Fair,41.63002279,-70.86663056,Male,1,15.95,11.04,22.02,0.0919,0.2855,24
2023-06-04,Historical,Fair,41.63002279,-70.86663056,Male,2,13.19,9.83,20.16,0.126,0.3547,26
2023-06-04,Historical,Fair,41.63002279,-70.86663056,Male,3,17.87,12.25,31.84,0.3696,0.6214,37
2023-06-04,Historical,Fair,41.63002279,-70.86663056,Male,4,17.87,12.47,27.04,0.2466,0.6597,27
2023-06-04,Historical,Fair,41.63002279,-70.86663056,Male,5,14.2,9.65,20.05,0.1885,0.2158,47
2023-06-04,Historical,Fair,41.63002279,-70.86663056,Male,6,16.79,11.22,6.2,NA,0.2266,0
2023-06-04,Historical,Fair,41.63002279,-70.86663056,Male,7,15.41,10.59,21.07,0.1567,0.4172,27
